YEAR,TEAM,OFF FGP,DEF FGP,OFF FTR,DEF FTR,OFF RP,DEF RP,OFF TOP,DEF TOP,OFF 3PP,DEF 3PP,OFF 2PP,DEF 2PP,OFF FTP,DEF FTP,OFF 3PR,DEF 3PR
2023,Marshall,52.6,47.7,26.200000000000003,28.000000000000004,31.7,32.6,15.5,20.1,33.6,31.9,53.9,47.7,69.8,63.9,36.9,34.0
2023,Kentucky,50.6,48.6,31.9,29.9,39.2,25.0,17.4,16.6,34.7,32.4,50.0,48.6,70.6,74.4,30.0,35.5
2023,Pepperdine,52.0,52.5,26.700000000000003,32.6,25.9,30.4,18.3,16.6,35.1,36.3,51.6,51.6,71.5,70.1,36.0,33.5
2023,Montana St.,51.0,49.8,44.0,35.099999999999994,25.7,25.4,17.8,20.1,31.8,34.6,52.6,48.8,75.8,74.0,33.4,34.0
2023,New Orleans,52.7,54.1,36.5,39.900000000000006,29.8,32.7,23.6,20.200000000000003,37.9,36.2,51.1,54.1,70.8,74.5,29.0,36.4
2023,Gonzaga,57.6,51.4,34.1,26.0,31.2,25.6,14.8,17.8,37.5,35.2,58.2,50.6,69.4,73.3,32.6,39.0
2023,UC Santa Barbara,54.1,50.1,34.4,29.2,26.3,26.1,17.0,18.5,34.8,34.6,54.8,49.3,73.6,74.9,29.2,31.5
2023,Portland,53.8,54.50000000000001,43.3,27.700000000000003,24.1,30.2,18.0,16.900000000000002,37.4,37.4,51.8,53.2,74.5,67.9,45.4,43.8
2023,Cal St. Bakersfield,44.6,51.1,29.4,43.6,27.200000000000003,28.4,19.8,20.5,31.5,34.9,43.7,50.2,75.7,71.8,24.6,42.0
2023,East Tennessee St.,50.5,50.8,31.2,26.9,29.9,28.9,19.5,17.5,32.1,32.9,51.8,51.8,67.0,73.4,34.9,43.1
2023,Mercer,48.9,48.8,28.6,35.9,30.4,27.6,18.2,17.4,32.7,33.0,48.8,48.4,69.1,72.6,30.5,34.0
2023,UCLA,51.1,46.8,27.4,27.500000000000004,33.0,28.2,14.9,23.3,34.9,31.1,50.6,46.9,73.1,69.7,29.0,38.8
2023,Portland St.,49.6,55.00000000000001,34.8,46.6,24.0,31.4,16.8,21.3,33.0,36.8,49.7,55.0,73.2,74.1,36.1,33.5
2023,Eastern Washington,56.2,50.2,31.5,29.4,28.000000000000004,25.8,19.9,16.2,35.5,33.4,58.4,50.2,75.4,75.3,44.1,43.8
2023,Youngstown St.,54.7,51.3,29.4,26.200000000000003,30.6,29.2,15.6,17.9,36.2,34.1,54.9,51.3,78.0,71.0,35.0,33.5
2023,Western Kentucky,49.6,50.7,32.300000000000004,25.6,25.9,31.0,17.1,18.0,34.4,36.2,48.5,48.0,70.8,69.5,36.2,42.1
2023,Wright St.,53.5,50.3,24.0,27.6,26.200000000000003,26.6,17.299999999999997,17.2,35.1,32.6,53.9,51.2,74.5,67.5,28.2,37.8
2023,Valparaiso,49.0,51.5,27.9,31.8,22.5,24.5,18.1,15.6,29.2,34.3,51.9,51.6,72.5,73.4,36.2,37.8
2023,Drake,52.900000000000006,46.9,28.4,27.4,23.8,22.4,15.5,17.5,36.4,31.3,51.9,46.9,76.9,70.4,36.5,38.2
2023,West Virginia,51.5,50.9,39.4,38.7,34.0,29.3,18.5,20.9,35.0,34.0,50.9,50.8,74.3,72.6,36.3,35.1
2023,Syracuse,51.6,51.2,30.7,21.7,30.0,33.6,17.0,18.7,36.1,34.4,50.5,50.9,74.9,70.2,29.2,48.3
2023,North Carolina St.,51.5,49.8,25.3,34.0,30.4,26.200000000000003,13.5,18.8,34.7,31.6,51.1,50.9,72.2,73.8,37.1,33.5
2023,Houston,52.3,42.7,28.9,35.7,37.1,27.700000000000003,15.4,21.1,34.0,27.9,53.1,43.4,73.3,68.9,37.9,43.5
2023,Iona,51.6,46.3,29.0,30.9,31.6,30.8,15.1,20.7,36.2,29.7,50.4,47.1,73.2,70.5,32.0,34.6
2023,Santa Clara,52.400000000000006,50.8,30.6,25.4,30.2,24.4,17.4,16.7,37.6,36.0,50.2,48.7,70.3,73.1,36.3,38.8
