YEAR,TEAM,OFF FGP,DEF FGP,OFF FTR,DEF FTR,OFF RP,DEF RP,OFF TOP,DEF TOP,OFF 3PP,DEF 3PP,OFF 2PP,DEF 2PP,OFF FTP,DEF FTP,OFF 3PR,DEF 3PR
2011,College of Charleston,54.8,48.5,27.4,27.1,32.800000000000004,35.4,17.9,19.3,36.6,34.0,54.6,47.5,74.1,67.2,38.4,28.3
2011,Wisconsin,51.8,48.2,29.5,32.9,33.800000000000004,27.1,13.1,16.8,37.4,37.0,48.9,45.2,81.8,74.4,41.2,29.4
2011,Texas St.,49.3,51.5,44.9,44.0,30.5,32.5,19.4,21.9,32.6,33.7,49.5,52.0,67.7,69.0,30.8,31.7
2011,Buffalo,52.5,47.4,35.8,37.9,36.5,33.2,22.7,22.4,37.5,36.7,50.9,44.1,64.7,67.1,29.5,30.1
2011,Illinois St.,47.3,49.0,33.6,34.599999999999994,30.7,28.1,21.2,18.4,31.0,35.5,47.6,46.7,70.8,69.2,30.8,34.9
2011,American,50.6,47.5,37.5,37.4,29.8,26.200000000000003,17.7,16.5,33.8,36.1,50.5,44.6,71.8,72.8,34.8,30.0
2011,Southern Illinois,47.1,48.8,38.4,42.4,30.4,28.2,22.2,19.2,32.1,36.5,46.6,46.3,69.2,71.3,27.1,28.8
2011,UC Davis,52.900000000000006,51.8,34.5,40.6,23.0,34.8,20.200000000000003,19.4,37.5,34.7,50.8,51.7,73.8,65.1,39.0,29.4
2011,North Carolina,49.1,46.2,37.9,24.8,37.1,30.1,18.3,19.6,32.8,33.1,49.1,44.4,67.2,65.9,25.0,34.5
2011,Missouri,51.5,49.3,34.300000000000004,40.7,33.4,36.9,17.0,24.6,36.2,34.3,50.2,48.4,73.5,69.3,31.1,29.2
2011,Youngstown St.,47.9,51.1,29.6,44.0,26.4,34.0,17.299999999999997,18.6,33.4,36.4,46.5,49.7,61.3,68.9,39.3,28.1
2011,UC Riverside,46.5,51.8,32.9,39.7,32.9,32.6,20.7,19.6,35.2,38.4,44.2,47.7,68.1,71.1,27.0,41.8
2011,UNLV,50.9,46.0,39.1,39.7,33.1,31.7,18.6,24.0,33.0,32.9,51.5,44.3,68.9,69.7,30.4,33.1
2011,Washington,53.7,46.400000000000006,31.5,44.0,37.7,31.9,16.8,20.4,37.1,32.8,52.5,45.3,67.4,68.0,36.3,27.7
2011,Texas,50.2,42.5,43.1,30.7,38.2,30.6,17.299999999999997,18.8,37.6,29.5,48.1,41.9,65.4,68.5,25.5,26.1
2011,Hofstra,49.6,50.2,35.5,35.2,28.9,36.1,15.9,19.0,35.4,38.0,48.0,47.1,76.4,71.0,32.0,31.3
2011,Loyola Marymount,46.7,48.7,37.5,37.3,34.8,32.300000000000004,20.0,18.1,32.4,34.6,46.1,47.3,68.9,72.5,25.3,30.2
2011,Quinnipiac,47.2,47.2,35.2,46.8,40.400000000000006,26.3,18.2,19.1,34.4,33.6,45.7,45.7,61.1,67.8,25.7,31.6
2011,Cal St. Bakersfield,45.0,53.0,36.0,39.6,31.8,35.9,19.4,19.8,33.2,34.6,42.7,53.4,68.9,73.3,32.9,27.9
2011,Southern Utah,50.2,51.5,46.6,50.4,36.3,33.300000000000004,23.3,19.1,35.2,37.0,49.6,49.5,70.5,69.8,17.9,32.8
