YEAR,TEAM,OFF FGP,DEF FGP,OFF FTR,DEF FTR,OFF RP,DEF RP,OFF TOP,DEF TOP,OFF 3PP,DEF 3PP,OFF 2PP,DEF 2PP,OFF FTP,DEF FTP,OFF 3PR,DEF 3PR
2009,USC,50.8,46.3,42.2,32.7,37.3,31.1,21.2,19.9,32.6,33.6,51.3,44.1,67.4,70.7,21.5,34.6
2009,Louisiana Lafayette,47.0,50.7,33.6,46.6,31.6,35.099999999999994,20.5,21.0,31.9,36.8,46.4,48.9,67.7,69.2,38.0,28.1
2009,Colgate,45.3,46.400000000000006,37.9,34.4,28.1,35.099999999999994,23.3,19.0,31.7,31.8,44.2,45.8,67.1,69.7,31.9,29.9
2009,McNeese St.,46.400000000000006,44.4,32.6,31.6,34.599999999999994,32.5,23.8,18.0,32.6,33.0,45.4,41.9,64.5,66.9,27.8,33.5
2009,Utah,54.6,45.1,39.2,36.3,27.6,25.6,21.0,15.9,37.0,34.9,54.1,42.5,78.5,71.9,38.4,26.4
2009,Temple,51.1,46.3,28.7,30.4,32.5,29.5,19.2,18.1,36.7,34.8,48.8,43.4,70.0,67.3,36.8,33.0
2009,Cal St. Fullerton,49.8,51.8,32.5,33.2,32.1,38.3,18.9,21.5,34.0,36.9,49.1,50.0,71.3,68.5,40.2,32.9
2009,Oklahoma,55.2,45.8,46.5,28.8,36.9,31.9,20.1,18.3,35.1,33.9,56.6,43.0,67.5,68.8,34.5,35.4
2009,Georgia Southern,48.9,54.2,30.0,42.7,31.5,37.0,20.8,19.7,34.1,38.4,47.6,52.4,66.0,66.6,34.8,34.5
2009,UCLA,55.7,49.8,31.2,35.6,36.3,31.3,19.0,23.9,39.9,36.1,53.5,48.0,72.4,69.6,33.2,29.4
2009,UC Santa Barbara,49.8,51.2,39.5,39.3,32.7,31.5,23.3,24.2,33.5,37.3,49.5,48.6,69.4,66.8,30.2,35.6
2009,Saint Joseph's,48.7,47.3,40.2,29.7,31.5,33.1,20.0,19.0,33.4,33.7,48.1,45.8,73.4,67.5,28.2,31.6
