YEAR,TEAM,OFF FGP,DEF FGP,OFF FTR,DEF FTR,OFF RP,DEF RP,OFF TOP,DEF TOP,OFF 3PP,DEF 3PP,OFF 2PP,DEF 2PP,OFF FTP,DEF FTP,OFF 3PR,DEF 3PR
2018,UTEP,49.3,50.6,30.9,36.4,19.0,27.0,17.8,17.4,33.1,35.3,49.0,48.8,66.9,67.7,38.6,41.8
2018,Arkansas Pine Bluff,49.6,49.2,36.6,44.7,23.4,37.8,20.6,22.7,32.9,32.9,49.7,49.1,67.5,71.1,35.4,36.0
2018,St. John's,49.2,50.3,30.4,34.4,23.6,32.0,16.400000000000002,22.2,33.3,37.4,48.8,46.0,74.3,73.9,35.4,42.8
2018,George Washington,49.5,51.4,28.9,28.1,31.7,30.0,19.2,17.1,32.1,35.7,50.2,50.3,70.9,70.7,30.1,34.0
2018,Coastal Carolina,49.0,49.6,38.8,40.2,34.2,28.4,22.0,18.0,33.3,34.9,48.4,47.4,72.6,72.9,36.5,45.4
2018,Idaho,54.7,50.1,30.4,30.2,31.1,24.2,19.4,16.1,41.1,35.2,50.3,48.1,73.3,71.8,39.1,42.4
2018,Manhattan,51.6,50.1,37.6,41.0,31.0,32.1,22.7,21.5,40.0,34.5,46.8,49.1,69.4,71.3,36.0,36.9
2018,Colorado St.,47.5,53.7,33.800000000000004,35.9,30.6,28.1,18.8,17.4,33.0,35.8,46.4,53.7,71.9,70.4,35.2,43.8
2018,Jacksonville St.,50.2,48.4,30.4,32.4,33.4,26.200000000000003,19.2,19.3,31.8,33.3,51.3,47.3,72.0,71.1,30.6,41.4
2018,New Mexico St.,51.6,46.0,29.1,33.0,33.800000000000004,22.5,17.4,19.0,34.0,31.1,52.0,45.7,64.3,72.2,36.5,36.7
2018,UNC Wilmington,48.9,56.6,31.1,36.9,33.800000000000004,25.5,17.299999999999997,15.6,34.5,39.6,47.4,54.8,68.8,69.5,33.8,39.4
2018,North Dakota,51.8,56.39999999999999,35.5,34.1,19.8,29.5,17.4,19.7,35.1,38.0,51.4,56.0,71.6,74.3,36.4,35.2
