YEAR,TEAM,OFF FGP,DEF FGP,OFF FTR,DEF FTR,OFF RP,DEF RP,OFF TOP,DEF TOP,OFF 3PP,DEF 3PP,OFF 2PP,DEF 2PP,OFF FTP,DEF FTP,OFF 3PR,DEF 3PR
2016,Weber St.,54.50000000000001,47.4,45.7,28.1,25.9,25.6,19.6,15.6,35.5,35.6,55.3,45.2,67.4,67.2,41.9,27.2
2016,New Mexico St.,50.2,44.8,36.9,28.4,36.0,25.1,20.200000000000003,16.2,32.5,33.5,50.7,42.3,67.5,66.7,28.1,31.4
2016,Portland St.,51.2,53.3,33.900000000000006,32.800000000000004,28.7,30.7,17.4,19.1,31.5,38.3,52.7,51.4,65.9,69.7,26.8,31.3
2016,Ohio St.,49.4,46.6,36.0,30.4,30.2,29.1,18.8,17.1,33.4,33.4,49.0,44.5,68.4,70.6,32.8,37.1
2016,Texas A&M Corpus Chris,49.2,48.9,37.7,44.5,30.9,33.2,17.7,22.5,34.1,35.2,48.2,46.6,74.1,71.6,33.0,36.5
2016,Virginia,54.8,48.4,32.1,33.4,29.9,25.2,15.1,18.8,40.3,34.7,52.6,46.3,75.2,70.2,28.3,36.7
2016,Georgia Tech,49.8,49.1,31.7,31.7,37.5,27.200000000000003,16.7,14.6,35.7,32.0,48.4,49.5,72.2,71.5,27.8,30.5
2016,Oral Roberts,50.5,52.1,36.6,33.0,28.1,30.0,17.299999999999997,15.9,38.0,37.4,48.0,50.2,75.7,73.1,27.6,31.2
2016,North Carolina,52.6,48.1,32.300000000000004,30.4,40.7,30.0,15.4,18.2,32.7,36.2,53.9,44.6,74.7,69.7,26.7,35.6
2016,UNC Asheville,49.6,49.3,41.8,33.0,31.6,29.3,18.6,22.2,32.1,29.6,50.2,52.1,70.1,70.4,30.1,35.9
2016,UC Irvine,51.1,44.6,35.099999999999994,34.7,29.1,28.2,18.2,17.4,36.7,33.2,49.3,41.6,68.2,73.1,30.7,36.9
2016,Pepperdine,49.0,49.8,41.1,31.4,30.3,29.8,16.0,16.1,34.0,32.6,48.3,50.2,67.8,67.5,25.6,34.6
2016,Murray St.,51.6,52.2,34.1,40.8,28.7,26.200000000000003,17.8,19.2,36.1,36.1,50.1,51.1,71.5,71.0,37.2,33.8
2016,Tennessee St.,50.4,49.5,41.5,42.7,31.4,29.0,19.2,21.6,34.1,36.8,50.0,45.4,69.8,69.2,29.4,41.4
2016,Missouri St.,46.1,51.5,39.3,34.1,28.000000000000004,28.1,18.6,17.599999999999998,32.0,37.2,45.3,49.1,67.8,70.3,29.4,35.1
2016,UCLA,50.3,49.7,32.300000000000004,33.900000000000006,32.800000000000004,30.4,16.900000000000002,16.1,36.3,35.4,48.8,47.6,69.1,68.9,27.3,37.8
2016,Villanova,56.10000000000001,46.7,34.1,30.0,28.2,29.4,16.3,20.6,36.2,33.9,57.4,44.1,78.2,66.2,42.7,37.4
2016,Louisville,51.9,44.7,31.8,40.5,38.5,29.2,17.1,21.6,34.7,32.1,51.9,42.8,69.0,68.8,29.0,35.3
2016,Miami FL,54.2,48.3,40.7,29.1,30.1,29.5,16.5,17.4,37.5,34.4,53.2,46.9,74.9,71.7,33.9,30.4
2016,Ball St.,52.2,46.8,34.8,38.6,28.000000000000004,26.3,19.9,16.5,36.9,35.1,49.9,43.7,68.7,70.4,42.8,35.4
2016,UT Rio Grande Valley,47.2,52.1,29.6,31.1,23.0,35.7,17.7,14.4,33.1,35.0,45.7,51.9,67.2,67.5,37.3,30.5
2016,Harvard,51.8,46.6,31.5,33.5,29.6,28.4,21.5,16.8,39.2,31.3,48.1,46.4,59.1,71.7,34.8,34.5
2016,Old Dominion,47.9,45.5,31.0,35.8,36.6,27.1,14.4,17.2,30.1,31.5,48.7,44.4,68.2,71.6,23.7,36.5
2016,Iowa St.,57.1,49.8,26.1,24.9,26.200000000000003,30.1,15.7,16.8,38.7,33.5,56.7,49.5,70.2,68.8,35.1,35.6
2016,James Madison,51.6,45.5,37.0,37.0,29.5,27.0,17.2,15.4,35.0,28.7,50.9,47.3,68.3,70.3,42.0,42.5
2016,Marshall,54.2,52.3,31.2,35.9,26.6,30.9,16.400000000000002,17.1,33.7,37.4,57.2,50.7,69.3,69.8,45.1,29.8
2016,Stony Brook,52.2,47.6,32.2,27.6,34.8,26.0,17.299999999999997,18.4,37.2,34.1,50.7,45.8,67.1,71.6,28.8,34.4
2016,Kent St.,49.0,51.0,40.0,35.099999999999994,34.1,28.000000000000004,17.5,16.8,32.8,35.9,49.0,49.5,68.1,73.5,30.3,34.8
2016,South Carolina St.,49.8,50.7,34.8,38.7,29.1,31.4,17.0,17.5,33.6,34.6,49.6,49.9,71.2,72.1,30.0,37.3
2016,Nevada,45.5,46.1,43.2,39.6,30.7,30.3,17.599999999999998,17.299999999999997,29.1,32.3,46.3,44.9,73.4,66.8,28.6,34.2
2016,Stephen F. Austin,54.8,49.5,34.300000000000004,40.2,33.5,30.7,17.7,25.9,36.9,32.8,54.5,49.7,74.8,67.8,36.8,30.7
2016,North Dakota,50.6,51.2,39.3,38.6,23.8,25.9,18.1,19.6,36.7,34.4,48.7,51.0,68.2,62.7,30.0,39.0
2016,Southern Illinois,51.1,50.9,39.3,44.9,31.7,25.6,19.4,21.3,34.3,31.8,51.0,52.6,68.5,67.5,33.8,35.2
2016,Eastern Illinois,49.9,51.4,34.4,40.5,26.8,34.7,18.0,19.5,34.4,33.5,48.8,52.0,65.8,70.3,38.4,36.4
2016,Florida St.,51.8,50.9,37.8,36.7,32.800000000000004,28.3,18.0,18.9,34.1,36.2,52.1,48.9,69.5,68.8,31.6,37.0
2016,Saint Joseph's,51.2,48.1,37.4,25.0,28.3,25.8,14.3,16.1,32.7,31.1,52.3,49.2,71.6,69.9,35.6,41.5
2016,Ohio,54.2,49.6,37.4,33.5,24.9,25.8,16.900000000000002,14.499999999999998,38.2,36.4,52.3,47.1,75.4,73.5,38.4,33.5
2016,USC Upstate,50.1,54.6,30.9,36.6,33.1,31.9,20.200000000000003,15.1,35.7,38.1,48.4,53.1,64.2,70.2,33.0,37.8
2016,Richmond,54.7,50.9,35.2,36.1,23.200000000000003,31.7,14.7,18.2,35.6,36.0,55.4,49.4,66.1,70.4,36.5,32.4
2016,Kentucky,53.5,44.5,37.8,40.8,37.5,31.9,16.2,18.0,36.6,32.6,52.9,42.7,69.0,70.2,31.0,29.6
2016,Fresno St.,48.4,48.8,37.7,46.400000000000006,30.0,29.7,15.1,21.0,34.4,33.0,47.0,48.4,69.8,69.7,30.3,39.3
2016,Arkansas St.,45.8,47.1,40.1,38.0,28.000000000000004,31.2,18.0,14.9,31.5,35.6,45.1,43.5,73.2,68.2,31.1,36.9
2016,South Florida,45.4,47.2,33.0,35.6,34.599999999999994,32.5,21.9,14.3,28.6,31.9,46.2,46.9,66.0,68.6,25.1,37.2
2016,Iowa,51.3,48.0,33.0,25.0,31.9,31.3,14.8,18.8,37.4,31.3,48.7,48.7,71.7,68.3,35.5,38.2
2016,Fairfield,51.3,49.6,32.6,34.1,24.8,34.1,17.599999999999998,18.9,35.4,33.7,50.0,49.1,73.7,69.3,41.5,36.1
2016,Western Kentucky,52.5,52.400000000000006,39.6,30.0,33.6,28.6,19.0,15.0,36.3,37.3,51.5,50.4,70.3,66.0,32.5,35.4
2016,Navy,49.5,48.9,42.8,39.4,32.6,27.200000000000003,19.9,20.3,30.5,35.4,50.8,45.9,64.0,70.6,26.3,41.7
2016,Purdue,53.6,44.3,35.4,28.1,35.0,23.4,17.7,13.7,36.7,31.4,52.8,42.9,74.4,70.1,35.8,33.1
2016,Florida Gulf Coast,51.5,47.7,37.3,35.3,31.7,27.500000000000004,17.2,15.9,34.2,31.2,51.5,48.3,64.2,69.4,24.7,36.2
2016,Hawaii,51.9,44.9,45.4,40.2,30.4,26.4,18.1,19.8,32.2,30.0,54.1,44.8,68.9,71.3,38.8,33.7
2016,Boston University,52.2,50.0,37.0,33.900000000000006,26.5,28.1,19.6,17.1,36.1,33.3,51.0,50.0,71.5,68.5,39.3,37.0
2016,UTEP,52.400000000000006,49.5,40.9,36.6,24.5,31.7,17.1,19.2,36.5,34.2,51.3,48.3,66.4,67.8,32.4,39.4
2016,Little Rock,51.9,45.9,31.5,38.3,26.700000000000003,29.5,15.6,21.0,38.2,30.9,48.9,45.7,72.6,68.8,35.0,40.2
2016,DePaul,49.4,51.4,36.5,44.8,30.7,29.9,21.5,17.8,34.3,36.4,48.6,49.2,68.0,74.0,29.0,39.5
2016,Eastern Kentucky,56.00000000000001,53.1,40.3,42.3,27.0,34.2,20.3,20.3,39.5,37.6,54.2,51.3,73.5,69.8,37.3,36.5
2016,Longwood,50.7,54.1,34.300000000000004,36.4,29.6,28.1,20.5,17.299999999999997,34.9,38.2,49.8,51.6,70.4,72.9,34.2,43.4
2016,California,52.2,44.3,41.7,37.5,32.4,25.3,17.7,14.099999999999998,36.3,34.7,51.1,41.5,65.6,70.9,33.7,26.5
2016,Rider,48.3,47.8,35.4,32.4,28.6,29.4,19.2,18.2,31.5,34.0,48.9,45.7,68.2,73.6,35.9,38.7
2016,Washington St.,50.7,49.9,31.1,37.5,23.9,29.6,19.7,14.7,34.6,35.9,50.3,48.2,71.4,73.5,30.3,31.0
2016,North Dakota St.,49.9,47.7,33.900000000000006,31.8,25.6,26.200000000000003,16.2,16.900000000000002,34.1,32.4,49.1,47.2,68.2,70.9,35.0,31.1
2016,Saint Mary's,58.4,46.2,29.0,24.1,29.8,26.700000000000003,15.4,15.5,41.0,32.7,56.4,44.8,68.8,68.0,38.8,31.6
2016,UC Santa Barbara,50.3,46.7,27.4,41.8,28.8,27.9,18.5,17.5,35.8,30.0,48.4,47.8,70.8,69.0,36.1,40.9
2016,Texas St.,46.6,49.6,37.7,35.6,29.8,30.6,17.8,20.8,32.1,35.1,46.0,47.9,67.5,70.4,26.6,35.0
2016,Oregon,52.3,48.9,40.3,32.0,34.1,30.5,16.1,20.200000000000003,34.4,36.2,52.6,46.1,71.6,70.0,34.3,34.1
2016,McNeese St.,46.7,52.3,36.2,37.7,28.1,33.0,17.7,16.1,33.2,37.3,44.9,50.8,68.8,67.4,35.1,30.8
2016,Georgia St.,48.5,47.9,37.5,41.3,24.5,31.0,18.0,21.2,34.8,32.8,47.1,47.0,69.4,73.3,27.2,40.7
2016,Southern,48.5,47.9,38.1,39.900000000000006,28.1,31.2,16.3,19.6,33.8,32.2,47.6,47.7,67.4,66.8,29.7,36.2
