YEAR,TEAM,OFF FGP,DEF FGP,OFF FTR,DEF FTR,OFF RP,DEF RP,OFF TOP,DEF TOP,OFF 3PP,DEF 3PP,OFF 2PP,DEF 2PP,OFF FTP,DEF FTP,OFF 3PR,DEF 3PR
2017,UCLA,59.8,48.7,26.8,25.4,29.1,28.6,15.1,15.8,40.6,36.5,59.1,45.3,73.8,67.9,37.6,35.8
2017,UTEP,51.8,49.5,36.3,39.1,22.2,25.0,19.0,17.5,34.3,34.0,51.9,48.5,66.2,68.3,30.1,40.6
2017,USC Upstate,52.400000000000006,50.7,31.9,29.9,30.2,30.2,17.9,14.499999999999998,34.6,33.2,52.8,51.2,64.6,73.0,39.5,37.8
2017,Kent St.,48.2,50.1,32.5,34.300000000000004,38.1,29.8,17.9,19.0,31.7,35.3,48.5,48.5,71.8,70.2,34.9,35.3
2017,New Mexico St.,52.7,47.9,43.3,35.2,35.6,28.5,19.5,19.1,33.5,30.3,54.2,49.1,70.9,68.4,39.0,32.5
2017,Middle Tennessee,54.1,47.9,30.0,38.2,30.1,23.8,15.6,19.8,36.9,32.8,53.6,47.1,70.1,71.5,30.1,35.4
2017,North Dakota,53.400000000000006,50.7,36.1,39.7,26.0,27.800000000000004,18.3,19.6,38.7,34.8,51.4,50.0,72.6,69.3,30.2,32.1
2017,Nevada,52.5,48.3,41.3,28.2,30.4,26.3,15.5,15.9,38.2,31.0,49.2,49.3,70.5,69.2,40.2,35.4
2017,Eastern Michigan,48.8,50.4,35.3,50.8,33.6,35.0,17.1,21.5,33.6,33.9,48.0,50.2,72.1,71.7,30.8,39.3
2017,Lafayette,49.1,54.50000000000001,29.4,30.4,20.0,29.1,20.7,18.2,32.6,38.4,49.2,52.2,71.1,67.6,39.9,43.6
2017,Villanova,57.49999999999999,48.1,35.0,22.1,30.2,27.800000000000004,17.1,20.1,36.9,31.1,59.2,49.1,79.0,70.3,43.3,40.0
2017,Texas Tech,52.900000000000006,50.8,35.6,35.6,30.0,25.7,16.5,20.3,36.7,35.5,51.9,48.9,73.3,71.3,32.5,42.5
2017,Wagner,47.6,47.6,34.7,38.9,40.1,30.9,21.4,18.5,32.5,33.5,47.1,46.0,69.0,69.6,32.5,36.1
2017,Stony Brook,47.1,50.7,32.800000000000004,40.1,29.5,28.8,15.2,19.7,32.7,37.5,45.7,47.5,72.2,70.1,40.7,36.3
2017,Texas A&M Corpus Chris,51.3,51.6,37.1,41.2,29.3,31.1,18.8,23.0,32.8,34.6,52.1,51.3,71.9,68.2,28.5,41.4
2017,Duke,54.8,47.4,39.3,31.2,31.7,29.8,16.3,17.299999999999997,37.9,29.3,53.5,48.9,76.2,71.0,38.3,28.8
2017,Longwood,49.3,55.1,29.0,32.2,21.5,34.1,21.9,17.4,32.5,40.0,49.6,52.5,72.9,69.8,34.6,34.0
2017,Florida A&M,46.5,53.2,37.6,33.900000000000006,26.3,34.7,18.5,18.9,33.9,36.1,44.7,52.5,65.8,68.4,29.7,41.2
2017,Green Bay,48.3,50.8,37.7,33.1,30.4,28.6,18.0,18.6,31.6,36.3,48.7,48.7,69.4,66.4,29.5,37.6
2017,Alcorn St.,47.9,47.3,32.800000000000004,39.8,31.9,31.2,20.4,18.6,32.0,30.2,47.9,48.3,65.7,65.9,35.5,32.0
2017,Akron,55.1,51.0,37.3,32.9,29.4,27.9,17.2,16.7,36.8,36.8,55.0,49.0,68.1,70.6,48.5,33.4
2017,Portland St.,52.5,56.00000000000001,38.1,36.8,25.7,31.3,16.1,22.2,33.4,37.2,53.9,56.2,65.9,72.3,34.9,38.6
2017,Kennesaw St.,51.3,53.8,30.6,36.2,31.1,28.5,18.9,17.5,41.2,37.3,47.7,52.8,69.7,67.9,25.9,31.5
2017,UT Rio Grande Valley,48.3,54.3,32.5,52.3,29.5,31.8,20.200000000000003,20.200000000000003,32.5,37.0,48.0,53.6,72.3,68.5,39.5,34.5
2017,Florida St.,53.7,47.9,38.4,37.3,33.800000000000004,29.8,16.400000000000002,19.5,34.7,34.9,54.4,45.4,68.9,71.5,31.3,36.1
2017,UC Irvine,50.0,44.1,29.7,40.2,31.9,26.4,19.9,15.3,35.6,32.7,48.2,41.6,68.5,69.7,34.9,33.1
2017,Fort Wayne,56.39999999999999,53.5,25.8,32.300000000000004,28.8,24.6,17.8,17.8,39.0,39.1,54.9,49.9,71.8,74.2,41.2,41.4
2017,Weber St.,56.00000000000001,50.6,42.9,29.5,21.4,30.3,16.900000000000002,16.5,40.3,35.2,53.0,49.8,73.8,74.3,40.8,26.0
2017,Fairfield,51.3,49.5,27.200000000000003,32.0,24.3,28.2,18.6,17.5,33.5,33.1,52.0,49.4,68.2,67.7,42.1,33.5
2017,Fairleigh Dickinson,49.5,51.8,36.1,44.0,27.4,34.2,18.9,19.4,32.7,34.4,49.8,51.9,77.3,69.7,35.7,35.3
2017,UMBC,54.0,52.400000000000006,35.0,35.099999999999994,24.4,27.3,16.3,17.7,38.5,35.2,51.5,52.2,75.2,71.9,39.9,37.8
2017,UMass Lowell,54.7,53.400000000000006,31.5,38.1,27.1,30.7,20.8,17.8,38.4,37.0,53.1,52.3,73.5,73.4,35.9,36.9
2017,Little Rock,49.1,51.8,32.300000000000004,40.3,28.4,27.6,19.5,19.9,33.8,36.2,48.2,50.2,73.7,72.2,33.7,37.9
2017,Saint Joseph's,46.6,51.2,40.1,32.5,29.8,26.6,17.0,18.0,32.4,34.9,45.7,50.3,65.0,72.9,29.7,44.8
2017,North Carolina Central,51.3,45.3,34.2,28.000000000000004,31.6,31.2,17.8,19.8,32.7,29.2,52.7,46.1,69.4,63.9,38.2,35.6
2017,BYU,51.2,47.9,42.3,31.1,29.1,24.8,18.2,16.2,34.4,32.4,50.9,47.5,73.3,64.5,32.5,38.9
2017,Butler,54.6,50.8,37.1,37.0,27.200000000000003,27.0,15.0,19.6,36.6,33.3,54.5,51.3,74.1,69.7,37.6,37.7
2017,Furman,54.900000000000006,49.4,32.1,33.7,27.200000000000003,27.1,19.2,19.5,38.1,31.6,53.3,50.9,70.6,70.8,43.0,40.8
2017,Sacramento St.,49.8,52.3,37.3,33.1,27.4,29.3,16.8,15.8,31.0,38.5,51.1,49.5,66.1,70.8,29.0,33.4
2017,North Carolina St.,52.7,51.6,36.2,30.4,29.8,31.4,18.5,15.6,35.6,36.9,52.4,49.5,70.0,71.6,33.5,35.6
2017,Lehigh,55.400000000000006,50.2,32.0,28.1,23.200000000000003,24.1,19.8,18.6,39.2,34.8,53.4,49.0,77.0,73.6,38.1,38.3
2017,Western Michigan,50.9,54.0,35.0,34.2,31.1,26.5,17.599999999999998,18.3,38.3,36.1,48.2,53.9,71.2,70.7,29.2,37.2
2017,Central Arkansas,49.8,55.1,35.9,32.0,28.8,31.7,19.1,15.7,37.5,39.2,46.7,52.2,71.8,69.5,32.1,43.9
2017,Virginia,52.400000000000006,46.1,26.0,33.800000000000004,28.3,24.5,15.6,20.7,38.5,31.7,49.7,45.1,70.9,69.9,33.0,39.8
2017,Eastern Washington,54.2,51.2,34.8,36.9,27.3,27.800000000000004,17.1,14.499999999999998,36.8,37.7,53.7,48.2,76.9,71.6,36.8,36.0
2017,Florida,51.6,45.8,40.2,34.0,32.1,29.5,16.900000000000002,21.0,35.9,30.5,50.3,45.7,72.9,70.6,36.6,31.3
2017,Vermont,55.3,48.6,34.300000000000004,26.5,29.8,27.1,17.0,19.6,36.7,34.9,55.5,46.9,69.9,70.5,31.9,30.4
2017,Creighton,57.6,49.9,27.9,29.3,24.2,29.6,17.1,19.3,39.8,33.0,56.4,50.2,68.3,68.9,35.9,36.8
2017,Missouri St.,51.0,50.4,33.800000000000004,33.0,32.9,24.6,18.4,16.2,36.2,35.0,48.8,49.2,70.1,75.3,39.3,35.5
2017,Oral Roberts,49.6,54.7,30.6,32.0,25.0,29.4,16.7,16.1,35.4,39.6,47.9,51.8,76.6,70.1,32.6,37.7
2017,Syracuse,53.5,50.3,35.099999999999994,29.2,31.6,34.5,18.0,19.7,37.9,34.3,51.3,49.6,73.9,65.8,40.6,42.7
2017,Georgia St.,53.0,49.0,33.900000000000006,40.0,29.9,29.1,20.0,19.8,35.0,32.4,53.3,49.4,63.7,71.1,36.7,46.0
2017,Kentucky,52.900000000000006,47.5,40.9,33.5,33.5,27.700000000000003,15.7,19.2,35.3,30.6,52.9,48.3,70.4,67.6,31.6,33.3
2017,VMI,48.1,56.7,29.5,39.7,26.6,32.300000000000004,18.9,17.9,32.0,40.7,48.2,54.2,69.2,67.0,44.5,36.7
2017,Arizona,53.7,47.7,40.5,28.6,33.2,26.0,16.6,17.4,39.0,31.0,51.5,48.4,76.5,68.4,30.5,36.4
2017,Illinois,50.6,49.9,32.5,30.1,28.6,26.3,18.3,18.5,36.1,33.7,48.5,49.6,68.9,72.6,36.2,36.5
2017,Rhode Island,50.8,45.0,39.2,45.0,32.800000000000004,29.7,16.400000000000002,19.4,33.3,29.5,51.2,45.4,66.8,70.8,32.3,30.0
2017,Connecticut,48.5,45.6,34.5,32.0,29.9,30.5,18.7,16.1,35.4,33.0,46.1,43.0,71.6,70.2,34.8,39.4
2017,Old Dominion,45.6,46.400000000000006,34.1,38.6,35.5,25.6,17.5,20.1,32.4,33.6,44.5,44.0,64.3,70.6,27.5,38.1
2017,Illinois St.,51.4,44.0,29.9,32.6,30.4,28.5,18.6,19.0,37.0,32.5,48.6,41.1,66.4,69.0,41.3,38.6
2017,Arkansas,51.4,47.8,38.1,39.1,31.9,34.2,16.6,18.5,36.5,33.2,50.0,46.7,76.1,70.5,29.5,36.7
2017,Gonzaga,56.6,41.1,39.0,26.9,30.0,26.200000000000003,16.2,17.1,38.2,29.0,56.3,40.0,71.7,65.8,32.8,32.1
