YEAR,TEAM,OFF FGP,DEF FGP,OFF FTR,DEF FTR,OFF RP,DEF RP,OFF TOP,DEF TOP,OFF 3PP,DEF 3PP,OFF 2PP,DEF 2PP,OFF FTP,DEF FTP,OFF 3PR,DEF 3PR
2010,Illinois,50.1,46.400000000000006,27.3,31.8,32.2,30.2,18.1,17.7,34.0,32.1,49.8,45.2,71.3,69.6,30.3,39.7
2010,Louisiana Lafayette,50.2,48.4,32.2,47.4,30.2,35.5,19.2,21.7,32.7,34.8,50.8,46.6,66.7,69.1,31.2,30.5
2010,Syracuse,57.6,45.9,36.9,25.6,37.1,34.300000000000004,21.4,22.0,39.1,30.2,57.1,46.2,67.7,63.7,30.9,40.2
2010,Bradley,49.6,47.4,37.8,30.5,28.4,33.2,18.4,18.6,35.6,30.8,47.8,48.3,74.4,77.3,32.0,41.0
2010,Ohio St.,56.10000000000001,47.1,35.8,26.4,29.5,29.4,17.5,21.8,39.0,33.7,54.8,45.1,69.7,71.0,35.4,36.1
2010,UCLA,52.6,50.9,36.6,32.7,30.4,32.4,21.8,20.0,32.5,36.3,54.7,49.1,63.2,69.7,34.4,33.3
2010,Louisville,51.4,48.5,35.7,41.0,39.8,36.9,20.0,22.3,33.7,34.7,51.9,46.7,70.1,70.2,39.6,32.2
2010,USC,46.1,43.2,35.5,37.9,34.2,29.7,22.8,19.9,29.7,32.3,46.6,41.0,65.1,65.8,23.2,29.9
2010,UTEP,52.8,44.6,39.6,43.2,28.9,30.2,18.7,22.3,34.3,31.3,53.4,43.4,67.3,66.8,31.2,34.8
2010,San Jose St.,51.4,51.8,38.3,32.4,33.900000000000006,36.2,18.3,15.0,39.9,37.1,47.9,50.0,72.7,63.2,29.3,32.2
2010,Detroit,49.9,47.5,47.1,35.9,34.8,30.3,22.3,21.9,33.2,31.9,49.9,47.3,65.9,71.6,24.2,35.5
2010,Rhode Island,49.8,50.9,33.5,30.0,35.3,36.0,15.8,22.4,33.3,34.2,49.7,50.7,69.8,66.8,31.7,26.2
2010,Michigan St.,51.6,46.6,36.9,31.4,39.8,28.4,21.0,18.8,34.4,32.8,51.6,45.1,68.5,71.0,26.3,37.0
2010,Coastal Carolina,51.5,43.9,36.0,29.6,36.4,32.7,19.1,20.4,35.0,28.2,51.1,44.7,64.0,67.3,25.7,33.4
2010,Nevada,53.400000000000006,48.7,34.300000000000004,31.8,32.0,32.2,16.7,15.7,36.3,35.2,53.0,47.1,73.1,71.0,29.9,27.4
2010,Baylor,54.400000000000006,44.5,36.1,34.2,38.2,33.2,20.3,17.8,38.1,33.7,53.0,41.3,72.9,67.9,32.4,34.4
2010,Northern Iowa,49.6,46.6,37.0,28.8,30.7,26.8,17.9,20.4,35.4,33.3,47.5,44.7,75.8,69.0,37.9,35.9
2010,Saint Mary's,55.3,46.1,32.7,30.2,34.300000000000004,31.1,17.1,16.0,40.6,30.2,52.2,46.3,76.1,65.9,35.9,23.3
2010,Portland St.,54.6,55.2,33.900000000000006,35.9,32.6,37.6,18.8,18.5,37.9,40.0,53.3,53.0,70.9,73.7,37.0,31.0
2010,Florida St.,50.5,43.5,38.6,34.8,38.1,32.4,24.3,23.6,33.5,32.8,50.7,40.3,64.4,67.2,32.1,35.3
2010,Purdue,49.1,44.8,38.6,36.8,29.4,31.8,16.3,23.4,31.8,35.4,49.7,41.6,72.3,71.5,30.0,28.1
2010,Washington,49.7,46.5,40.9,44.6,36.9,32.2,17.5,22.0,33.6,32.1,49.5,45.9,72.0,68.2,25.7,27.1
2010,Oregon,47.9,51.5,33.4,39.8,35.4,32.1,18.7,21.3,33.9,35.6,46.7,50.4,71.5,69.6,29.2,37.4
2010,Troy,52.3,50.7,28.5,29.9,30.6,34.1,18.0,18.6,35.7,36.6,51.6,48.2,63.8,68.0,33.9,37.2
2010,Boise St.,50.7,51.1,29.8,30.9,33.0,31.2,19.9,20.3,33.2,36.8,51.2,49.4,67.6,67.9,29.1,29.5
2010,Akron,49.3,47.1,36.6,41.5,37.4,33.300000000000004,19.9,20.8,34.2,32.6,48.2,46.3,66.4,70.8,34.1,28.9
2010,Quinnipiac,48.2,47.1,40.2,38.7,40.8,29.3,19.9,20.5,33.9,35.2,47.5,44.4,72.1,66.1,20.4,31.8
2010,Marshall,51.7,45.3,46.0,36.4,33.900000000000006,32.9,18.3,17.8,36.3,32.6,50.5,43.9,68.2,70.4,29.7,27.9
2010,SMU,51.6,50.2,42.0,31.7,33.2,29.5,21.7,18.4,35.4,36.3,50.8,47.4,70.6,73.3,33.6,39.8
2010,Minnesota,53.1,46.5,33.900000000000006,32.800000000000004,33.4,32.5,19.0,21.3,39.9,34.1,50.0,43.6,70.0,68.0,31.7,37.7
2010,Southeastern Louisiana,53.5,44.8,40.6,37.5,29.0,37.3,21.7,19.4,38.9,33.8,51.2,42.4,69.6,71.1,31.9,28.6
2010,Washington St.,49.9,51.2,45.5,34.300000000000004,35.5,32.800000000000004,20.7,20.3,34.7,35.3,49.0,50.2,70.5,70.6,30.0,34.8
2010,Hampton,47.2,46.0,42.2,39.3,33.5,36.7,22.8,23.7,29.9,30.7,48.4,46.0,67.8,63.0,32.1,31.5
