Year,Round,SeedDiff,Team1,Team2,Team1Wins
2024,5,15,UConn,North Carolina,0.5
2024,5,16,Houston,Tennessee,0.5
2024,6,15,UConn,Houston,0.5
2024,6,16,UConn,Tennessee,0.5
2024,6,15,North Carolina,Houston,0.5
2024,6,16,North Carolina,Tennessee,0.5
