Year,Round,SeedDiff,Team1,Team2,Team1Wins
2024,5,15,UConn,Florida Atlantic,0.5
2024,5,15,San Diego St.,Auburn,0.5
2024,6,15,BYU,Illinois,0.5
2024,6,15,Washington St.,Iowa St.,0.5
2024,6,15,North Carolina,Michigan St.,0.5
2024,6,15,Saint Mary's,Alabama,0.5
2024,2,15,New Mexico,Baylor,0.5
2024,2,15,Dayton,Arizona,0.5
2024,2,15,Houston,Nebraska,0.5
2024,2,15,James Madison,Duke,0.5
2024,2,15,Texas Tech,Kentucky,0.5
2024,2,15,Florida,Marquette,0.5
2024,2,15,Purdue,TCU,0.5
2024,2,15,Gonzaga,Samford,0.5
2024,2,15,South Carolina,Creighton,0.5
2024,2,15,Texas,Tennessee,0.5
