Year,Round,SeedDiff,Team1,Team2,Team1Wins
2019,2,23,Tennessee,Iowa,1
2019,2,23,North Carolina,Washington,1
2019,2,23,Duke,Central Florida,1
2019,2,18,Texas Tech,Buffalo,1
2019,2,23,Virginia Tech,Liberty,1
2019,2,23,Virginia,Oklahoma,1
2019,2,23,Houston,Ohio St.,1
2019,2,14,UC Irvine,Oregon,1
2019,1,14,Central Florida,Virginia Commonwealth,1
2019,1,8,Liberty,Mississippi St.,1
2019,1,24,Virginia Tech,St. Louis,1
2019,1,26,LSU,Yale,1
2019,1,30,Virginia,Gardner-Webb,1
2019,1,12,Minnesota,Louisville,1
2019,1,28,Michigan St.,Bradley,1
2019,1,14,Oklahoma,Mississippi,1
2019,1,30,North Carolina,Iona,1
2019,1,14,Washington,Utah St.,1
2019,1,8,Oregon,Wisconsin,1
2019,1,22,Auburn,New Mexico St.,1
2019,1,24,Kansas,Northeastern,1
2019,1,10,Ohio St.,Iowa St.,1
2019,1,6,UC Irvine,Kansas St.,1
2019,1,26,Houston,Georgia St.,1
2019,1,18,Wofford,Seton Hall,1
2019,1,28,Kentucky,Abilene Christian,1
2019,1,20,Villanova,St. Mary's (Cal.),1
2019,1,26,Purdue,Old Dominion,1
2019,1,12,Iowa,Cincinnati,1
2019,1,28,Tennessee,Colgate,1
2019,1,28,Michigan,Montana,1
2019,1,12,Florida,Nevada,1
2019,1,14,Baylor,Syracuse,1
2019,1,26,Texas Tech,Northern Kentucky,1
2019,1,8,Murray St.,Marquette,1
2019,1,24,Florida St.,Vermont,1
2019,1,30,Gonzaga,Fairleigh Dickinson,1
2019,1,20,Maryland,Belmont,1
2019,1,30,Duke,North Dakota St.,1
2019,1,20,Buffalo,Arizona St.,1
2019,0,15,Fairleigh Dickinson,Prairie View,1
2019,0,15,Belmont,Temple,1
2019,0,15,North Dakota St.,North Carolina Central,1
2019,0,15,Arizona St.,St. John's,1
2018,6,17,Villanova,Michigan,1
2018,5,23,Michigan,Loyola (Ill.),1
2018,5,15,Villanova,Kansas,1
2018,4,17,Villanova,Texas Tech,1
2018,4,16,Kansas,Duke,1
2018,4,13,Loyola (Ill.),Kansas St.,1
2018,4,21,Michigan,Florida St.,1
2018,3,11,Loyola (Ill.),Nevada,1
2018,3,11,Kansas St.,Kentucky,1
2018,3,19,Michigan,Texas A&M,1
2018,3,10,Florida St.,Gonzaga,1
2018,3,19,Kansas,Clemson,1
2018,3,24,Duke,Syracuse,1
2018,3,19,Villanova,West Virginia,1
2018,3,14,Texas Tech,Purdue,1
2018,2,7,Loyola (Ill.),Tennessee,1
2018,2,16,Gonzaga,Ohio St.,1
2018,2,22,Kansas,Seton Hall,1
2018,2,20,Duke,Rhode Island,1
2018,2,23,Kentucky,Buffalo,1
2018,2,18,Michigan,Houston,1
2018,2,23,Villanova,Alabama,1
2018,2,18,Texas Tech,Florida,1
2018,2,23,Purdue,Butler,1
2018,2,7,Syracuse,Michigan St.,1
2018,2,10,Texas A&M,North Carolina,1
2018,2,10,Nevada,Cincinnati,1
2018,2,14,Clemson,Auburn,1
2018,2,22,Kansas St.,Maryland-Baltimore County,1
2018,2,7,Florida St.,Xavier,1
2018,2,23,West Virginia,Marshall,1
2018,1,0,Maryland-Baltimore County,Virginia,1
2018,1,14,Kansas St.,Creighton,1
2018,1,22,Kentucky,Davidson,1
2018,1,6,Buffalo,Arizona,1
2018,1,10,Loyola (Ill.),Miami (Fla.),1
2018,1,26,Tennessee,Wright St.,1
2018,1,18,Nevada,Texas,1
2018,1,28,Cincinnati,Georgia St.,1
2018,1,30,Xavier,Texas Southern,1
2018,1,14,Florida St.,Missouri,1
2018,1,22,Ohio St.,South Dakota St.,1
2018,1,24,Gonzaga,UNC Greensboro,1
2018,1,20,Houston,San Diego St.,1
2018,1,26,Michigan,Montana,1
2018,1,18,Texas A&M,Providence,1
2018,1,28,North Carolina,Lipscomb,1
2018,1,30,Villanova,Radford,1
2018,1,14,Alabama,Virginia Tech,1
2018,1,22,West Virginia,Murray St.,1
2018,1,6,Marshall,Wichita St.,1
2018,1,20,Florida,St. Bonaventure,1
2018,1,26,Texas Tech,Stephen F. Austin,1
2018,1,12,Butler,Arkansas,1
2018,1,28,Purdue,Cal St. Fullerton,1
2018,1,30,Kansas,Penn,1
2018,1,16,Seton Hall,North Carolina St.,1
2018,1,22,Clemson,New Mexico St.,1
2018,1,24,Auburn,College of Charleston,1
2018,1,20,TCU,Syracuse,1
2018,1,26,Michigan St.,Bucknell,1
2018,1,18,Rhode Island,Oklahoma,1
2018,1,28,Duke,Iona,1
2018,0,15,Texas Southern,North Carolina Central,1
2018,0,15,Radford,Long Island,1
2018,0,15,St. Bonaventure,UCLA,1
2018,0,15,Syracuse,Arizona St.,1
2017,6,15,North Carolina,Gonzaga,1
2017,5,21,Gonzaga,South Carolina,1
2017,5,17,North Carolina,Oregon,1
2017,4,25,Gonzaga,Xavier,1
2017,4,13,Oregon,Kansas,1
