YEAR,ROUND,TEAM1,TEAM2,SEEDDIFF,OFF FGP,DEF FGP,OFF FTR,DEF FTR,OFF RP,DEF RP,OFF TOP,DEF TOP,OFF 3PP,DEF 3PP,OFF 2PP,DEF 2PP,OFF FTP,DEF FTP,OFF 3PR,DEF 3PR,TEAM1WINS
2024,2,Connecticut,Florida Atlantic,22,-2.0999999999999943,4.600000000000001,1.499999999999993,-4.9999999999999964,-2.6999999999999957,2.3999999999999986,0.9000000000000004,0.3000000000000007,-1.1000000000000014,1.7000000000000028,-2.5,5.599999999999994,-2.200000000000003,0.5,-2.1000000000000014,3.0999999999999943,0.5
2024,2,San Diego St.,Auburn,14,4.300000000000004,-3.8000000000000043,0.7000000000000028,7.699999999999996,0.19999999999999574,2.299999999999997,-1.0999999999999996,0.1999999999999993,3.900000000000002,-0.6999999999999993,3.299999999999997,-5.5,2.299999999999997,3.5,-0.29999999999999716,-7.200000000000003,0.5
2024,2,BYU,Illinois,12,-1.3000000000000043,0.0,12.499999999999996,-5.0,3.3999999999999986,1.4000000000000021,-0.09999999999999964,-3.6999999999999993,0.10000000000000142,2.4999999999999964,-3.299999999999997,-1.6000000000000014,0.7000000000000028,1.9000000000000057,-12.400000000000006,-6.200000000000003,0.5
2024,2,Washington St.,Iowa St.,10,-0.20000000000000284,-0.19999999999999574,4.400000000000002,2.5,-1.2999999999999972,4.5,-0.40000000000000213,9.799999999999999,0.8999999999999986,-0.5,-0.8999999999999986,0.0,-0.3999999999999915,-2.299999999999997,0.0,13.5,0.5
2024,2,North Carolina,Michigan St.,23,0.20000000000000284,1.5999999999999943,-6.899999999999999,4.300000000000001,-2.9000000000000057,5.199999999999999,0.29999999999999893,3.799999999999999,0.5,1.3999999999999986,0.20000000000000284,1.1000000000000014,-4.800000000000011,-3.0,-5.699999999999999,5.199999999999996,0.5
2024,2,Saint Mary's,Alabama,14,3.1999999999999957,4.799999999999997,6.900000000000002,7.399999999999999,-4.100000000000001,7.5,0.0,-1.0999999999999996,1.0,-0.5,4.600000000000001,7.5,11.0,3.200000000000003,10.099999999999994,7.700000000000003,0.5
2024,2,Clemson,Baylor,12,1.7000000000000028,2.5999999999999943,9.899999999999999,-0.3000000000000007,7.3999999999999915,1.9000000000000021,2.799999999999999,3.5000000000000018,4.0,-0.5,-1.0,4.799999999999997,-5.0,-1.4000000000000057,-1.9000000000000057,-5.100000000000001,0.5
2024,2,Dayton,Arizona,10,-1.5999999999999943,0.8000000000000043,-0.5,3.8999999999999986,9.399999999999999,-5.899999999999999,0.3000000000000007,2.400000000000002,-3.1000000000000014,1.6999999999999993,0.8999999999999986,-0.4000000000000057,-1.5,-2.200000000000003,-11.899999999999999,-2.1999999999999957,0.5
2024,2,Houston,Nebraska,22,3.5,2.299999999999997,2.5,-11.299999999999997,-9.099999999999994,-0.1999999999999993,2.200000000000001,-8.299999999999997,1.0999999999999943,1.8999999999999986,4.399999999999999,1.8000000000000043,6.0,2.9000000000000057,7.899999999999999,0.8000000000000043,0.5
2024,2,James Madison,Duke,7,0.7999999999999972,2.299999999999997,-0.3999999999999986,-7.499999999999993,-0.1999999999999993,-1.7000000000000028,-0.3999999999999986,-2.8999999999999986,1.2000000000000028,4.0,0.19999999999999574,0.30000000000000426,1.7000000000000028,-4.099999999999994,-0.7000000000000028,0.3999999999999986,0.5
2024,2,Texas Tech,Kentucky,12,4.600000000000001,0.3999999999999986,-4.199999999999996,6.799999999999997,-1.3000000000000007,-0.10000000000000142,-2.3000000000000007,-1.0,4.700000000000003,0.5,3.200000000000003,0.19999999999999574,-0.5,1.0,-3.8000000000000043,0.8999999999999986,0.5
2024,2,Florida,Marquette,10,3.6000000000000014,0.9000000000000057,-13.0,-6.0000000000000036,-11.5,1.9000000000000021,-1.5,6.600000000000003,1.5999999999999943,1.3999999999999986,4.299999999999997,0.20000000000000284,0.29999999999999716,4.700000000000003,6.0,10.399999999999999,0.5
2024,2,Purdue,TCU,23,-4.1000000000000085,2.5999999999999943,-7.700000000000003,12.700000000000003,-1.8999999999999986,3.900000000000002,1.3999999999999986,6.799999999999999,-5.199999999999996,1.3999999999999986,-2.0,2.799999999999997,0.9000000000000057,-2.5,-4.800000000000001,-2.0,0.5
2024,2,Gonzaga,Kansas,14,-3.299999999999997,0.30000000000000426,1.3000000000000043,2.6999999999999993,-8.000000000000004,-0.8000000000000043,2.4000000000000004,0.3000000000000007,-2.200000000000003,-0.20000000000000284,-3.5,0.19999999999999574,0.30000000000001137,-2.799999999999997,-1.6999999999999993,4.200000000000003,0.5
2024,2,South Carolina,Creighton,12,6.699999999999996,-1.5999999999999943,-7.300000000000001,-14.600000000000001,-7.200000000000003,-3.400000000000002,-0.1999999999999993,-3.700000000000001,2.6000000000000014,-1.3999999999999986,9.5,-1.0999999999999943,6.699999999999989,5.700000000000003,7.899999999999999,-4.0,0.5
2024,2,Texas,Tennessee,10,-2.200000000000003,-3.6000000000000014,3.9000000000000057,0.7999999999999972,1.8999999999999986,-1.3999999999999986,-2.0000000000000018,0.29999999999999716,-1.8999999999999986,-3.3999999999999986,-1.7999999999999972,-3.1000000000000014,-0.7999999999999972,-1.2000000000000028,6.399999999999999,9.0,0.5
