YEAR,ROUND,TEAM1,TEAM2,SEEDDIFF,OFF FGP,DEF FGP,OFF FTR,DEF FTR,OFF RP,DEF RP,OFF TOP,DEF TOP,OFF 3PP,DEF 3PP,OFF 2PP,DEF 2PP,OFF FTP,DEF FTP,OFF 3PR,DEF 3PR,TEAM1WINS
2024,5,Connecticut,Auburn,15,-3.0,-1.7000000000000028,4.899999999999999,8.5,-3.6000000000000014,3.5,0.0,2.0,-1.5,-2.099999999999998,-3.6000000000000014,-0.9000000000000057,1.0,1.3999999999999915,-3.3999999999999986,0.09999999999999432,0.5
2024,5,BYU,Iowa St.,15,-3.200000000000003,-0.8999999999999986,10.8,3.1000000000000014,-1.2000000000000028,4.699999999999999,0.5,9.7,0.10000000000000142,-0.3000000000000007,-6.299999999999997,-1.3000000000000043,-4.099999999999994,1.4000000000000057,-18.700000000000003,10.899999999999999,0.5
2024,6,North Carolina,Saint Mary's,15,1.8000000000000043,-1.3000000000000043,-8.499999999999996,3.900000000000002,6.199999999999996,-1.1000000000000014,1.5999999999999996,1.799999999999999,0.10000000000000142,1.0,2.700000000000003,-2.3999999999999986,-8.0,-3.3000000000000114,0.8000000000000043,-7.100000000000001,0.5
2024,6,New Mexico,Arizona,15,4.000000000000007,0.7000000000000028,3.6000000000000014,-7.800000000000001,2.8999999999999986,-3.8999999999999986,2.1999999999999993,-1.3999999999999986,3.700000000000003,2.799999999999997,3.200000000000003,-1.4000000000000057,0.10000000000000853,-2.9000000000000057,2.8000000000000007,1.6000000000000014,0.5
2024,6,Houston,James Madison,15,4.700000000000003,2.700000000000003,4.300000000000004,-3.9000000000000057,-4.899999999999999,-2.599999999999998,1.0,-4.899999999999999,1.7999999999999972,-1.3999999999999986,5.800000000000004,5.399999999999999,1.0999999999999943,6.099999999999994,1.5,-5.799999999999997,0.5
2024,6,Kentucky,Marquette,15,-2.299999999999997,0.20000000000000284,-4.799999999999997,-5.199999999999999,-2.8999999999999986,0.6000000000000014,0.10000000000000142,5.100000000000001,-5.400000000000006,1.0,1.2999999999999972,-0.5999999999999943,-5.799999999999997,3.299999999999997,3.200000000000003,3.200000000000003,0.5
2024,2,Purdue,Gonzaga,15,0.6999999999999957,-0.4000000000000057,-11.299999999999997,2.8000000000000007,-4.099999999999994,2.5000000000000036,-2.4999999999999982,2.4999999999999982,-5.299999999999997,2.6000000000000014,5.099999999999994,-3.0,0.5,0.29999999999999716,-3.6000000000000014,-0.30000000000000426,0.5
2024,2,Creighton,Tennessee,15,-5.999999999999993,-1.000000000000007,9.800000000000004,19.599999999999998,6.5,4.0,-0.7000000000000011,7.699999999999999,-1.8999999999999986,-0.8000000000000043,-9.0,-1.4000000000000057,-3.1999999999999886,-8.0,-7.600000000000001,14.2,0.5
